balls,strikes,deficit,runs_scored,fastballs_seen,count,optimal_action,value
2,1,1,3,2,2-1,take,0.5757116094081473
2,1,1,3,3,2-1,take,0.5747788670052348
2,1,2,0,0,2-1,take,0.42110135758023853
2,1,2,0,1,2-1,take,0.4198103943399182
2,1,2,0,2,2-1,take,0.41821747357456973
2,1,2,0,3,2-1,take,0.41753989618187876
2,1,2,1,0,2-1,take,0.42110135758023853
2,1,2,1,1,2-1,take,0.4198103943399182
2,1,2,1,2,2-1,take,0.41821747357456973
2,1,2,1,3,2-1,take,0.41753989618187876
2,1,2,2,0,2-1,take,0.42110135758023853
2,1,2,2,1,2-1,take,0.4198103943399182
2,1,2,2,2,2-1,take,0.41821747357456973
2,1,2,2,3,2-1,take,0.41753989618187876
2,1,2,3,0,2-1,take,0.42110135758023853
2,1,2,3,1,2-1,take,0.4198103943399182
2,1,2,3,2,2-1,take,0.41821747357456973
2,1,2,3,3,2-1,take,0.41753989618187876
2,1,3,0,0,2-1,take,0.3059030647354559
2,1,3,0,1,2-1,take,0.3049652629346545
2,1,3,0,2,2-1,take,0.30380810840312245
2,1,3,0,3,2-1,take,0.30331589198663883
2,1,3,1,0,2-1,take,0.3059030647354559
2,1,3,1,1,2-1,take,0.3049652629346545
2,1,3,1,2,2-1,take,0.30380810840312245
2,1,3,1,3,2-1,take,0.30331589198663883
2,1,3,2,0,2-1,take,0.3059030647354559
2,1,3,2,1,2-1,take,0.3049652629346545
2,1,3,2,2,2-1,take,0.30380810840312245
2,1,3,2,3,2-1,take,0.30331589198663883
2,1,3,3,0,2-1,take,0.3059030647354559
2,1,3,3,1,2-1,take,0.3049652629346545
2,1,3,3,2,2-1,take,0.30380810840312245
2,1,3,3,3,2-1,take,0.30331589198663883
2,2,0,0,0,2-2,take,0.48267302217501756
2,2,0,0,1,2-2,take,0.4874422390998607
2,2,0,0,2,2-2,take,0.48194795531086504
2,2,0,0,3,2-2,take,0.47704946507595397
2,2,0,1,0,2-2,take,0.48267302217501756
2,2,0,1,1,2-2,take,0.4874422390998607
2,2,0,1,2,2-2,take,0.48194795531086504
2,2,0,1,3,2-2,take,0.47704946507595397
2,2,0,2,0,2-2,take,0.48267302217501756
2,2,0,2,1,2-2,take,0.4874422390998607
2,2,0,2,2,2-2,take,0.48194795531086504
2,2,0,2,3,2-2,take,0.47704946507595397
2,2,0,3,0,2-2,take,0.48267302217501756
2,2,0,3,1,2-2,take,0.4874422390998607
2,2,0,3,2,2-2,take,0.48194795531086504
2,2,0,3,3,2-2,take,0.47704946507595397
2,2,1,0,0,2-2,take,0.36022393404710346
2,2,1,0,1,2-2,take,0.3637832506114505
2,2,1,0,2,2-2,take,0.35968280904891053
2,2,1,0,3,2-2,take,0.35602701445869384
2,2,1,1,0,2-2,take,0.36022393404710346
2,2,1,1,1,2-2,take,0.3637832506114505
2,2,1,1,2,2-2,take,0.35968280904891053
2,2,1,1,3,2-2,take,0.35602701445869384
2,2,1,2,0,2-2,take,0.36022393404710346
2,2,1,2,1,2-2,take,0.3637832506114505
2,2,1,2,2,2-2,take,0.35968280904891053
2,2,1,2,3,2-2,take,0.35602701445869384
2,2,1,3,0,2-2,take,0.36022393404710346
2,2,1,3,1,2-2,take,0.3637832506114505
2,2,1,3,2,2-2,take,0.35968280904891053
2,2,1,3,3,2-2,take,0.35602701445869384
2,2,2,0,0,2-2,take,0.26167953043984715
2,2,2,0,1,2-2,take,0.26426514510675964
2,2,2,0,2,2-2,take,0.2612864379158566
2,2,2,0,3,2-2,take,0.2586307381654137
2,2,2,1,0,2-2,take,0.26167953043984715
2,2,2,1,1,2-2,take,0.26426514510675964
